Path,Sequence Length,Epoch,Train Accuracy,Train Loss,Test Accuracy
15m,5,1,0.37628206610679626,1.2372339963912964,
15m,5,2,0.3602564036846161,1.157420039176941,
15m,5,3,0.3660256266593933,1.1549919843673706,
15m,5,4,0.3788461685180664,1.1377757787704468,
15m,5,5,0.3730769157409668,1.1259992122650146,
15m,5,6,0.3692307770252228,1.1355465650558472,
15m,5,7,0.3673076927661896,1.1258435249328613,
15m,5,8,0.36538460850715637,1.1372231245040894,
15m,5,9,0.35256409645080566,1.132506012916565,
15m,5,10,0.37051281332969666,1.1217435598373413,
15m,5,11,0.3602564036846161,1.1183432340621948,
15m,5,12,0.36282050609588623,1.1237335205078125,
15m,5,13,0.38525640964508057,1.117041826248169,
15m,5,14,0.37756410241127014,1.1206568479537964,
15m,5,15,0.3801282048225403,1.1233890056610107,
15m,5,16,0.3711538314819336,1.1201618909835815,
15m,5,17,0.36474359035491943,1.1118308305740356,
15m,5,18,0.360897421836853,1.1136595010757446,
15m,5,19,0.37371793389320374,1.112192153930664,
15m,5,20,0.36666667461395264,1.1172209978103638,
15m,5,21,0.35384616255760193,1.117409586906433,
15m,5,22,0.3820512890815735,1.1143707036972046,
15m,5,23,0.37371793389320374,1.115794062614441,
15m,5,24,0.37564101815223694,1.1144635677337646,
15m,5,25,0.37628206610679626,1.1099039316177368,
15m,5,Final,,,0.36923076923076925
15m,15,1,0.34871795773506165,1.2748453617095947,
15m,15,2,0.34871795773506165,1.1818937063217163,
15m,15,3,0.36153846979141235,1.1611202955245972,
15m,15,4,0.34679487347602844,1.1539735794067383,
15m,15,5,0.3480769097805023,1.167041540145874,
15m,15,6,0.3512820601463318,1.145304560661316,
15m,15,7,0.3493589758872986,1.1423313617706299,
15m,15,8,0.37628206610679626,1.146381139755249,
15m,15,9,0.3403846025466919,1.1569597721099854,
15m,15,10,0.37051281332969666,1.132789134979248,
15m,15,11,0.3641025722026825,1.140332818031311,
15m,15,12,0.3673076927661896,1.1296381950378418,
15m,15,13,0.36346152424812317,1.143276333808899,
15m,15,14,0.3711538314819336,1.1319806575775146,
15m,15,15,0.36538460850715637,1.1384549140930176,
15m,15,16,0.38525640964508057,1.1143460273742676,
15m,15,17,0.3679487109184265,1.1248406171798706,
15m,15,18,0.35384616255760193,1.1248610019683838,
15m,15,19,0.3730769157409668,1.1195663213729858,
15m,15,20,0.36858972907066345,1.1169250011444092,
15m,15,21,0.3660256266593933,1.121902346611023,
15m,15,22,0.36153846979141235,1.1244065761566162,
15m,15,23,0.37051281332969666,1.1073700189590454,
15m,15,24,0.37628206610679626,1.1182832717895508,
15m,15,25,0.3589743673801422,1.1142061948776245,
15m,15,Final,,,0.33076923076923076
15m,30,1,0.3455128073692322,1.2878957986831665,
15m,30,2,0.3660256266593933,1.1693599224090576,
15m,30,3,0.3583333194255829,1.1718488931655884,
15m,30,4,0.3499999940395355,1.1568595170974731,
15m,30,5,0.37435898184776306,1.1498230695724487,
15m,30,6,0.35064101219177246,1.1466034650802612,
15m,30,7,0.375,1.13545560836792,
15m,30,8,0.3801282048225403,1.1323758363723755,
15m,30,9,0.36282050609588623,1.1373664140701294,
15m,30,10,0.339102566242218,1.1471052169799805,
15m,30,11,0.3641025722026825,1.1204500198364258,
15m,30,12,0.3717948794364929,1.1254416704177856,
15m,30,13,0.38846153020858765,1.1159368753433228,
15m,30,14,0.3589743673801422,1.123265266418457,
15m,30,15,0.3692307770252228,1.1157500743865967,
15m,30,16,0.375,1.110988736152649,
15m,30,17,0.35256409645080566,1.1245028972625732,
15m,30,18,0.375,1.1112754344940186,
15m,30,19,0.37628206610679626,1.1071043014526367,
15m,30,20,0.37628206610679626,1.1128123998641968,
15m,30,21,0.3641025722026825,1.1323621273040771,
15m,30,22,0.3551281988620758,1.1141483783721924,
15m,30,23,0.3839743733406067,1.109308123588562,
15m,30,24,0.38525640964508057,1.111641764640808,
15m,30,25,0.3589743673801422,1.1225409507751465,
15m,30,Final,,,0.33076923076923076
30m,5,1,0.3492957651615143,1.262394905090332,
30m,5,2,0.3154929578304291,1.161178469657898,
30m,5,3,0.3464788794517517,1.1248537302017212,
30m,5,4,0.38450703024864197,1.1254477500915527,
30m,5,5,0.35211268067359924,1.1290534734725952,
30m,5,6,0.35915493965148926,1.120173454284668,
30m,5,7,0.3549295663833618,1.1211674213409424,
30m,5,8,0.37746480107307434,1.106597661972046,
30m,5,9,0.3704225420951843,1.1327476501464844,
30m,5,10,0.3577464818954468,1.1180529594421387,
