Path,Sequence Length,Epoch,Train Accuracy,Train Loss,Test Accuracy
15m,5,1,0.3807692229747772,1.092922568321228,
15m,5,2,0.3769230842590332,1.090827226638794,
15m,5,3,0.39935898780822754,1.0888807773590088,
15m,5,4,0.39423078298568726,1.0865594148635864,
15m,5,5,0.4000000059604645,1.08495032787323,
15m,5,6,0.410897433757782,1.0862658023834229,
15m,5,7,0.4057692289352417,1.0869014263153076,
15m,5,8,0.39935898780822754,1.0841974020004272,
15m,5,9,0.40705129504203796,1.082345724105835,
15m,5,10,0.40128204226493835,1.0825588703155518,
15m,5,11,0.4044871926307678,1.08289635181427,
15m,5,12,0.410897433757782,1.0790156126022339,
15m,5,13,0.3987179398536682,1.0808957815170288,
15m,5,14,0.4044871926307678,1.0825599431991577,
15m,5,15,0.4089743494987488,1.0798693895339966,
15m,5,16,0.42307692766189575,1.0774060487747192,
15m,5,17,0.41217949986457825,1.0762224197387695,
15m,5,18,0.41410255432128906,1.0786583423614502,
15m,5,19,0.40705129504203796,1.0764451026916504,
15m,5,20,0.42115384340286255,1.0787149667739868,
15m,5,21,0.41217949986457825,1.0773792266845703,
15m,5,22,0.4224359095096588,1.075730323791504,
15m,5,23,0.41794872283935547,1.072638988494873,
15m,5,24,0.4076923131942749,1.0776090621948242,
15m,5,25,0.41923075914382935,1.073081135749817,
15m,5,Final,,,0.3564102564102564
15m,15,1,0.37628206610679626,1.0958048105239868,
15m,15,2,0.38525640964508057,1.0908173322677612,
15m,15,3,0.3980769217014313,1.089984655380249,
15m,15,4,0.4000000059604645,1.0841081142425537,
15m,15,5,0.40128204226493835,1.0867975950241089,
15m,15,6,0.392948716878891,1.08338463306427,
15m,15,7,0.3897435963153839,1.0849674940109253,
15m,15,8,0.4019230902194977,1.0808439254760742,
15m,15,9,0.4076923131942749,1.0807979106903076,
15m,15,10,0.39615383744239807,1.0853742361068726,
15m,15,11,0.4057692289352417,1.0772048234939575,
15m,15,12,0.4134615361690521,1.0833213329315186,
15m,15,13,0.4038461446762085,1.080788016319275,
15m,15,14,0.4166666567325592,1.0797715187072754,
15m,15,15,0.40641024708747864,1.0757904052734375,
15m,15,16,0.41730770468711853,1.0732591152191162,
15m,15,17,0.41794872283935547,1.0744839906692505,
15m,15,18,0.3967948853969574,1.0733553171157837,
15m,15,19,0.42115384340286255,1.0728254318237305,
15m,15,20,0.41794872283935547,1.070758581161499,
15m,15,21,0.42820513248443604,1.0723700523376465,
15m,15,22,0.40320512652397156,1.077867031097412,
15m,15,23,0.40320512652397156,1.0808106660842896,
15m,15,24,0.4044871926307678,1.0733811855316162,
15m,15,25,0.3916666805744171,1.0789839029312134,
15m,15,Final,,,0.34102564102564104
15m,30,1,0.4006410241127014,1.0927196741104126,
15m,30,2,0.39358973503112793,1.0902310609817505,
15m,30,3,0.3839743733406067,1.0856271982192993,
15m,30,4,0.39038461446762085,1.0916571617126465,
15m,30,5,0.39230769872665405,1.0880799293518066,
15m,30,6,0.4000000059604645,1.0875567197799683,
15m,30,7,0.39935898780822754,1.0816822052001953,
15m,30,8,0.40320512652397156,1.082686185836792,
15m,30,9,0.4044871926307678,1.0803037881851196,
15m,30,10,0.3980769217014313,1.0853217840194702,
15m,30,11,0.4166666567325592,1.0722113847732544,
15m,30,12,0.3858974277973175,1.0881904363632202,
15m,30,13,0.37371793389320374,1.090500831604004,
15m,30,14,0.39615383744239807,1.086348056793213,
15m,30,15,0.4025641083717346,1.0832370519638062,
15m,30,16,0.40833333134651184,1.0832535028457642,
15m,30,17,0.410897433757782,1.0795013904571533,
15m,30,18,0.41602563858032227,1.0783578157424927,
15m,30,19,0.41410255432128906,1.0826307535171509,
15m,30,20,0.4134615361690521,1.0762438774108887,
15m,30,21,0.42500001192092896,1.076654314994812,
15m,30,22,0.4224359095096588,1.0760319232940674,
15m,30,23,0.41923075914382935,1.073104739189148,
15m,30,24,0.4166666567325592,1.0735092163085938,
15m,30,25,0.4115384519100189,1.0761054754257202,
15m,30,Final,,,0.3641025641025641
30m,5,1,0.3380281627178192,1.1006778478622437,
30m,5,2,0.3394366204738617,1.0992774963378906,
30m,5,3,0.3661971688270569,1.0965991020202637,
30m,5,4,0.37605634331703186,1.095137596130371,
30m,5,5,0.3718309998512268,1.0943509340286255,
30m,5,6,0.3802816867828369,1.0906792879104614,
30m,5,7,0.4000000059604645,1.0881102085113525,
30m,5,8,0.39436620473861694,1.0835301876068115,
30m,5,9,0.39295774698257446,1.088454246520996,
30m,5,10,0.40281689167022705,1.0846025943756104,
