Path,Sequence Length,Epoch,Train Accuracy,Train Loss,Test Accuracy
1h,30,1,0.49038460850715637,0.8183607459068298,
1h,30,2,0.48351648449897766,0.7579144239425659,
1h,30,3,0.4958791136741638,0.748263955116272,
1h,30,4,0.531593382358551,0.7161610126495361,
1h,30,5,0.49038460850715637,0.717177152633667,
1h,30,6,0.5178571343421936,0.7201170921325684,
1h,30,7,0.5068681240081787,0.7239400148391724,
1h,30,8,0.5041208863258362,0.7142127752304077,
1h,30,9,0.47664836049079895,0.7305518984794617,
1h,30,10,0.5219780206680298,0.7038958072662354,
1h,30,11,0.5206043720245361,0.7106229066848755,
1h,30,12,0.5109890103340149,0.7121352553367615,
1h,30,13,0.5247252583503723,0.7054158449172974,
1h,30,14,0.5192307829856873,0.698157787322998,
1h,30,15,0.4972527325153351,0.71329665184021,
1h,30,16,0.5027472376823425,0.7181382179260254,
1h,30,17,0.5164835453033447,0.7066082954406738,
1h,30,18,0.5178571343421936,0.7070682048797607,
1h,30,19,0.48351648449897766,0.699935257434845,
1h,30,20,0.5164835453033447,0.7051152586936951,
1h,30,21,0.5109890103340149,0.6966844797134399,
1h,30,22,0.5151098966598511,0.7094854712486267,
1h,30,23,0.49038460850715637,0.7138247489929199,
1h,30,24,0.531593382358551,0.6996702551841736,
1h,30,25,0.49862638115882874,0.7050623893737793,
1h,30,Final,,,0.5737704918032787
